ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LV,LAC,LAR,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SF,SEA,TB,TEN,WAS
,,3,9,,,,,6,,4,,5,10,,1,,,,,,,,,,7,,2,,8,,
9,,,2,,,,,,,7,,3,,,1,,8,,,10,,4,,,,,5,,6,,
,,,2,,,,,,,8,,9,,,1,,,,,3,,7,,,6,5,4,10,,,
,9,4,5,,,,,,,6,,10,,,1,,,,,2,,,,,,,3,,8,,7
,7,4,9,,,,,,,3,,5,,,1,,,,,2,,,,,,,10,,8,,6
,,4,9,,,,,,,3,10,5,,,1,,,,,2,,,,,,,6,,7,,8
,,2,6,,,,,,,3,7,5,,,1,,,,,4,,,,,10,9,,,,,8
,,3,4,,,,,,,2,8,9,,,1,,,,,6,,,,,,7,10,,,,5
,,3,4,,,,,,,2,,,,,1,,,9,,6,,,,,7,8,10,,,,5
,,3,4,,,,,,,2,,,,,1,,8,,,9,,,,,7,5,10,,,,6
,,5,6,,,,,,10,1,,,,,2,,7,,,9,,,,,3,4,,,,,8
,,5,6,,,,,,9,1,8,,,,2,,,,,7,,,,,3,4,,,10,,
,,6,4,,,,,,,1,8,,,,2,,10,,,7,,,,,3,5,,,,,9
,,6,5,,,,,,,1,8,,,,2,,,9,,7,,,,,3,4,,10,,,
,,8,3,,,,,,10,4,7,,,,1,,,,,6,,,,,2,5,,,9,,
,,6,4,,,,,,,3,7,,,,1,,,10,,2,,,,,5,8,,,,,9
,,6,3,,,,,,,4,7,,,,1,,9,,,2,,,,,5,,,,10,,8
,,4,3,,,,,,,1,8,,,,2,,6,10,,7,,,,,5,,,,7,,9